Formula,Avg Pearson,Std Pearson,Avg MAE
Linear: n*1.1 + c*1.0 - e*1.1,0.17924075372162454,0.4825181282428015,1.555629533053788
Linear: n*1.1 + c*1.0 - e*1.5,0.16736819097492445,0.4802094426205336,1.580297088587501
Sigmoid: σ(5n) + c - σ(5e),0.07768083543334717,0.502151686531484,1.7068469761827896
Exp: n + c*exp(-2*e),0.06468259535658726,0.4544112368123957,1.7349942015107367
Linear: n*1.5 + c*1.5 - e*0.8,0.029288527034852307,0.44979583267397355,1.7852142689892563
Linear: n*1.5 + c*1.5 - e*1.1,0.02928851645698492,0.4497958103699271,1.7852143017341964
Linear: n*1.5 + c*1.5 - e*1.5,0.029288508347313932,0.4497957932701441,1.7852143268386782
Linear: n*1.0 + c*1.0 - e*1.5,0.00243914248887341,0.45442847968192984,1.8088853245263812
Linear: n*1.0 + c*1.0 - e*1.1,-0.001520753615318166,0.45533357616084397,1.8120396047232001
Linear: n*1.0 + c*1.0 - e*0.8,-0.006828063058469312,0.4566160619715506,1.816392444452767
Linear: n*1.3 + c*1.5 - e*1.5,-0.07705987005281145,0.47429832122143345,1.8897861803728027
Linear: n*1.3 + c*1.5 - e*1.1,-0.08516699567574493,0.4755234731425884,1.8970338637408846
Linear: n*1.3 + c*1.5 - e*0.8,-0.09479591133726332,0.47654649836124513,1.9049461314078437
Linear: n*0.8 + c*1.0 - e*1.5,-0.09830542921888934,0.4767963913683902,1.9080140191792778
Linear: n*0.8 + c*1.0 - e*1.1,-0.10920240306921643,0.4771460422184197,1.9182849782683493
Linear: n*0.8 + c*1.0 - e*0.8,-0.12276352089010971,0.47669990884288205,1.9328344460596523
Linear: n*1.1 + c*1.5 - e*1.5,-0.12663657587982802,0.47640222565282053,1.9367393370011827
Linear: n*1.1 + c*1.5 - e*1.1,-0.13679312816968694,0.47528762051061635,1.9477047942634487
Threshold: (n>0.3) + c - (e>0.3),-0.13803999467362602,0.5172628036165909,1.885132350730702
Linear: n*1.1 + c*1.5 - e*0.8,-0.14895563619022137,0.4733598047131008,1.9613239959570723
Linear: n*1.0 + c*1.5 - e*1.5,-0.16156748162238208,0.4707225467887939,1.9752305796911298
Linear: n*1.0 + c*1.5 - e*1.1,-0.1732853488222708,0.4676939770031603,1.9856589769590887
Linear: n*1.0 + c*1.5 - e*0.8,-0.18730109325940164,0.46328588634504986,1.9949551036411546
Linear: n*0.8 + c*1.5 - e*1.5,-0.1895407656080572,0.4624960314646801,1.9963566674952422
Linear: n*0.8 + c*1.5 - e*1.1,-0.20253982599964893,0.4574242531340052,2.0061656976317614
Linear: n*0.8 + c*1.5 - e*0.8,-0.2181806719754681,0.450302453714304,2.0192948895301326
Piecewise: n*1.5*(n>0.5) + c - e*1.2*(e>0.2),-0.3165788268019232,0.4216928262896919,2.120252063885551
Threshold: (n>0.5) + c - (e>0.5),-0.3197684333833745,0.4210309327236165,2.1134691207683343
Quadratic: n² + c - e²,-0.3379838526446819,0.3896919695107011,2.1514182063011202
Threshold: (n>0.7) + c - (e>0.7),-0.3457668993367533,0.39109313044099997,2.179906068385153
