Formula,Avg Pearson,Std Pearson,Avg MAE
Linear: n*0.8 + c*0.5 - e*1.5,0.15453151883312682,0.35255837382329286,1.587360404887551
Linear: n*1.3 + c*1.0 - e*1.1,0.15450651361201473,0.3525398962669985,1.5874055189419385
Linear: n*1.3 + c*1.0 - e*0.8,0.15389459143423176,0.35207775887456316,1.5885151537339186
Linear: n*0.8 + c*0.5 - e*1.1,0.15386915232841594,0.35205811014508603,1.5885615264863424
Linear: n*1.5 + c*1.0 - e*1.5,0.15350997284222356,0.3517777801666937,1.5892187705349612
Linear: n*0.8 + c*0.5 - e*0.8,0.1529321211473916,0.35131195899733725,1.5902858881781163
Linear: n*1.5 + c*1.0 - e*1.1,0.15289963466173395,0.351285207930924,1.5903462746658508
Linear: n*1.0 + c*0.5 - e*1.5,0.15281052794805203,0.35121142697054114,1.5905120904911794
Linear: n*1.5 + c*1.0 - e*0.8,0.15211677322003975,0.35061980060812403,1.5918149459682722
Linear: n*1.0 + c*0.5 - e*1.1,0.15195153033187653,0.3504739226864092,1.5921285663726241
Linear: n*1.1 + c*0.5 - e*1.5,0.15137234778799882,0.3499461736797036,1.593239173542908
Linear: n*1.0 + c*0.5 - e*0.8,0.1507893084351068,0.3493859522554147,1.5943771123932182
Linear: n*1.1 + c*0.5 - e*1.1,0.15040445957926502,0.3489979940274023,1.5951408207127877
Linear: n*1.3 + c*0.5 - e*1.5,0.15016573562019692,0.34874926980309795,1.595620190068518
Linear: n*1.5 + c*0.5 - e*1.5,0.14915082729898557,0.3476106867513136,1.5977153936195116
Linear: n*1.3 + c*0.5 - e*1.1,0.14915082556620096,0.3476106934135824,1.5977153982463936
Linear: n*1.1 + c*0.5 - e*0.8,0.14915082290037207,0.3476107036632133,1.597715405364676
Linear: n*1.5 + c*0.5 - e*1.1,0.14813295269337673,0.34629789429072555,1.5999218783661975
Interaction: n + (n*c) - e,0.14790546398568152,0.3425329606749972,1.6033894001757052
Linear: n*1.3 + c*0.5 - e*0.8,0.14789324446224955,0.34595577262773514,1.600460100599225
Linear: n*1.5 + c*0.5 - e*0.8,0.14692912285401744,0.34440049835032716,1.6027092046487232
Exp: n + c*exp(-2*e),0.14540066161998527,0.31592468387705314,1.6206608273183853
Piecewise: n*1.5*(n>0.5) + c - e*1.2*(e>0.2),0.1259861563632372,0.35421538743180553,1.6491037559207051
SigmoidLinear: σ(5n + c - 3e),0.12593561311689067,0.3385583234280891,1.6648486143209478
Ratio: (n/(e+0.01)) + c,0.09880083279956145,0.35123865655604397,1.6976287265412224
Threshold: (n>0.7) + c - (e>0.7),0.0796840468791443,0.31585820841732826,1.7478275388158775
Threshold: (n>0.3) + c - (e>0.3),0.06523445448752545,0.30722693896651926,1.7618078854438532
Threshold: (n>0.5) + c - (e>0.5),0.050802676188016496,0.3069494680968827,1.7919111661322291
